Approved symbol	Approved name	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
CCDC85B	coiled-coil domain containing 85B	NM_006848	11007
IL24	interleukin 24	NM_006850	11009
GLIPR1	GLI pathogenesis related 1	NM_006851	11010
TLK2	tousled like kinase 2	NM_006852	11011
KLK11	kallikrein related peptidase 11	NM_006853	11012
TMSB15A	thymosin beta 15A	NM_021992	11013
KDELR2	KDEL endoplasmic reticulum protein retention receptor 2		11014
KDELR3	KDEL endoplasmic reticulum protein retention receptor 3		11015
ATF7	activating transcription factor 7	NM_001130059	11016
SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27	NM_006857	11017
TMED1	transmembrane p24 trafficking protein 1	NM_006858	11018
LIAS	lipoic acid synthetase	NM_194451	11019
IFT27	intraflagellar transport 27	NM_006860	11020
RAB35	RAB35, member RAS oncogene family		11021
TDRKH	tudor and KH domain containing	NM_006862	11022
VAX1	ventral anterior homeobox 1	NM_001112704	11023
LILRA1	leukocyte immunoglobulin like receptor A1	NM_006863	11024
LILRB3	leukocyte immunoglobulin like receptor B3	NM_006864	11025
LILRA3	leukocyte immunoglobulin like receptor A3		11026
LILRA2	leukocyte immunoglobulin like receptor A2		11027
SERPINB8P1	serpin family B member 8 pseudogene 1	NG_002645	11029
RBPMS	RNA binding protein, mRNA processing factor		11030
RAB31	RAB31, member RAS oncogene family		11031
ADAP1	ArfGAP with dual PH domains 1	NM_006869	11033
DSTN	destrin, actin depolymerizing factor	NM_001011546	11034
RIPK3	receptor interacting serine/threonine kinase 3	NM_006871	11035
GTF2A1L	general transcription factor IIA subunit 1 like	NM_006872	11036
STON1	stonin 1	NM_006873	11037
GUSBP14	GUSB pseudogene 14		11039
PIM2	Pim-2 proto-oncogene, serine/threonine kinase		11040
B4GAT1	beta-1,4-glucuronyltransferase 1	NM_006876	11041
GUSBP15	GUSB pseudogene 15		11042
MID2	midline 2	NM_012216	11043
TENT4A	terminal nucleotidyltransferase 4A	NM_006999	11044
UPK1A	uroplakin 1A		11045
SLC35D2	solute carrier family 35 member D2		11046
ADRM1	ADRM1 26S proteasome ubiquitin receptor		11047
NUS1P3	NUS1 pseudogene 3	NG_006509	11049
NUDT21	nudix hydrolase 21	NM_007006	11051
CPSF6	cleavage and polyadenylation specific factor 6	NM_007007	11052
OGFR	opioid growth factor receptor		11054
ZPBP	zona pellucida binding protein	NM_007009	11055
DDX52	DExD-box helicase 52	NM_152300	11056
ABHD2	abhydrolase domain containing 2, acylglycerol lipase		11057
WWP1	WW domain containing E3 ubiquitin protein ligase 1	NM_007013	11059
WWP2	WW domain containing E3 ubiquitin protein ligase 2	NM_007014	11060
CNMD	chondromodulin		11061
DUS4L	dihydrouridine synthase 4 like	NM_181581	11062
SOX30	SRY-box transcription factor 30	NM_007017	11063
CNTRL	centriolin	NM_007018	11064
UBE2C	ubiquitin conjugating enzyme E2 C	NM_007019	11065
SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35	NM_007020	11066
DEPP1	DEPP autophagy regulator 1	NM_007021	11067
CYB561D2	cytochrome b561 family member D2	NM_007022	11068
RAPGEF4	Rap guanine nucleotide exchange factor 4	NM_007023	11069
TMEM115	transmembrane protein 115	NM_007024	11070
DUSP14	dual specificity phosphatase 14	NM_007026	11072
TOPBP1	DNA topoisomerase II binding protein 1	NM_007027	11073
TRIM31	tripartite motif containing 31		11074
STMN2	stathmin 2	NM_007029	11075
TPPP	tubulin polymerization promoting protein	NM_007030	11076
HSF2BP	heat shock transcription factor 2 binding protein	NM_007031	11077
TRIOBP	TRIO and F-actin binding protein		11078
RER1	retention in endoplasmic reticulum sorting receptor 1		11079
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4		11080
KERA	keratocan	NM_007035	11081
ESM1	endothelial cell specific molecule 1	NM_007036	11082
DIDO1	death inducer-obliterator 1	NM_080796	11083
ADAM30	ADAM metallopeptidase domain 30	NM_021794	11085
ADAM29	ADAM metallopeptidase domain 29		11086
WDR5	WD repeat domain 5	NM_052821	11091
SPACA9	sperm acrosome associated 9	NM_018956	11092
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	NM_139025	11093
CACFD1	calcium channel flower domain containing 1	NM_017586	11094
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	NM_007037	11095
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5		11096
NUP42	nucleoporin 42	NM_007342	11097
PRSS23	serine protease 23	NM_007173	11098
PTPN21	protein tyrosine phosphatase non-receptor type 21		11099
HNRNPUL1	heterogeneous nuclear ribonucleoprotein U like 1	NM_144732, NM_007040	11100
ATE1	arginyltransferase 1	NM_001001976	11101
RPP14	ribonuclease P/MRP subunit p14	NM_007042	11102
KRR1	KRR1 small subunit processome component homolog	NM_007043	11103
KATNA1	katanin catalytic subunit A1	NM_007044	11104
PRDM7	PR/SET domain 7		11105
PRDM5	PR/SET domain 5		11107
PRDM4	PR/SET domain 4	NM_012406	11108
HIBADH	3-hydroxyisobutyrate dehydrogenase	NM_152740	11112
CIT	citron rho-interacting serine/threonine kinase	NM_007174	11113
CEP43	centrosomal protein 43	NM_007045	11116
EMILIN1	elastin microfibril interfacer 1	NM_007046	11117
BTN3A2	butyrophilin subfamily 3 member A2		11118
BTN3A1	butyrophilin subfamily 3 member A1		11119
BTN2A1	butyrophilin subfamily 2 member A1	NM_007049	11120
PTPRT	protein tyrosine phosphatase receptor type T		11122
RCAN3	RCAN family member 3		11123
FAF1	Fas associated factor 1	NM_007051	11124
CD160	CD160 molecule	NM_007053	11126
KIF3A	kinesin family member 3A	NM_007054	11127
POLR3A	RNA polymerase III subunit A	NM_007055	11128
CLASRP	CLK4 associating serine/arginine rich protein	NM_007056	11129
ZWINT	ZW10 interacting kinetochore protein		11130
CAPN11	calpain 11		11131
CAPN10	calpain 10	NM_023083	11132
KPTN	kaptin, actin binding protein		11133
CDC42EP1	CDC42 effector protein 1	NM_152243	11135
SLC7A9	solute carrier family 7 member 9		11136
PWP1	PWP1 homolog, endonuclein	NM_007062	11137
TBC1D8	TBC1 domain family member 8	NM_007063	11138
CDC37	cell division cycle 37, HSP90 cochaperone	NM_007065	11140
IL1RAPL1	interleukin 1 receptor accessory protein like 1	NM_014271	11141
PKIG	cAMP-dependent protein kinase inhibitor gamma		11142
KAT7	lysine acetyltransferase 7	NM_007067	11143
DMC1	DNA meiotic recombinase 1	NM_007068	11144
PLAAT3	phospholipase A and acyltransferase 3	NM_001128203	11145
GLMN	glomulin, FKBP associated protein	NM_007070	11146
HHLA3	HERV-H LTR-associating 3	NR_027404	11147
HHLA2	HERV-H LTR-associating 2	NM_007072	11148
BVES	blood vessel epicardial substance	NM_147147	11149
CORO1A	coronin 1A	NM_007074	11151
WDR45	WD repeat domain 45	NM_007075	11152
FICD	FIC domain protein adenylyltransferase	NM_007076	11153
AP4S1	adaptor related protein complex 4 subunit sigma 1		11154
LDB3	LIM domain binding 3		11155
PTP4A3	protein tyrosine phosphatase 4A3	NM_032611	11156
LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	NM_007080	11157
RABL2B	RAB, member of RAS oncogene family like 2B	NM_001003789	11158
RABL2A	RAB, member of RAS oncogene family like 2A		11159
ERLIN2	ER lipid raft associated 2	NM_007175	11160
ERG28	ergosterol biosynthesis 28 homolog	NM_007176	11161
NUDT6	nudix hydrolase 6	NM_007083	11162
NUDT4	nudix hydrolase 4	NM_019094	11163
NUDT5	nudix hydrolase 5		11164
NUDT3	nudix hydrolase 3		11165
SOX21	SRY-box transcription factor 21	NM_007084	11166
FSTL1	follistatin like 1	NM_007085	11167
PSIP1	PC4 and SRSF1 interacting protein 1	NM_033222	11168
WDHD1	WD repeat and HMG-box DNA binding protein 1	NM_007086	11169
FAM107A	family with sequence similarity 107 member A	NM_007177	11170
STRAP	serine/threonine kinase receptor associated protein	NM_007178	11171
INSL6	insulin like 6	NM_007179	11172
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	NM_014272	11173
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	NM_197941	11174
BAZ2A	bromodomain adjacent to zinc finger domain 2A	NM_013449	11176
BAZ1A	bromodomain adjacent to zinc finger domain 1A		11177
LZTS1	leucine zipper tumor suppressor 1	NM_021020	11178
ZNF277	zinc finger protein 277	NM_021994	11179
WDR6	WD repeat domain 6		11180
TREH	trehalase	NM_007180	11181
SLC2A6	solute carrier family 2 member 6	NM_017585	11182
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	NM_006575	11183
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	NM_001042600	11184
INMT	indolethylamine N-methyltransferase	NM_006774	11185
RASSF1	Ras association domain family member 1		11186
PKP3	plakophilin 3	NM_007183	11187
NISCH	nischarin	NM_007184	11188
CELF3	CUGBP Elav-like family member 3	NM_007185	11189
CEP250	centrosomal protein 250	NM_007186	11190
PTENP1	phosphatase and tensin homolog pseudogene 1	NR_023917	11191
WBP4	WW domain binding protein 4	NM_007187	11193
ABCB8	ATP binding cassette subfamily B member 8	NM_007188	11194
SEC23IP	SEC23 interacting protein		11196
WIF1	WNT inhibitory factor 1		11197
SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit	NM_007192	11198
ANXA10	annexin A10	NM_007193	11199
CHEK2	checkpoint kinase 2	NM_001005735	11200
POLI	DNA polymerase iota	NM_007195	11201
KLK8	kallikrein related peptidase 8	NM_007196	11202
MST1P2	macrophage stimulating 1 pseudogene 2		11209
FZD10	frizzled class receptor 10		11211
PLPBP	pyridoxal phosphate binding protein	NM_007198	11212
IRAK3	interleukin 1 receptor associated kinase 3		11213
AKAP13	A-kinase anchoring protein 13	NM_007200	11214
AKAP11	A-kinase anchoring protein 11	NM_016248	11215
AKAP10	A-kinase anchoring protein 10	NM_007202	11216
DDX20	DEAD-box helicase 20	NM_007204	11218
TREX2	three prime repair exonuclease 2	NM_080701	11219
DUSP10	dual specificity phosphatase 10	NM_007207	11221
MRPL3	mitochondrial ribosomal protein L3	NM_007208	11222
MST1L	macrophage stimulating 1 like (pseudogene)		11223
RPL35	ribosomal protein L35	NM_007209	11224
GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	NM_007210	11226
GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	NM_014568	11227
RASSF8	Ras association domain family member 8	NM_007211	11228
PRAF2	PRA1 domain family member 2	NM_007213	11230
SEC63	SEC63 homolog, protein translocation regulator	NM_007214	11231
POLG2	DNA polymerase gamma 2, accessory subunit	NM_007215	11232
HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	NM_181507	11234
PDCD10	programmed cell death 10	NM_007217	11235
RNF139	ring finger protein 139	NM_007218	11236
RNF24	ring finger protein 24		11237
CA5B	carbonic anhydrase 5B	NM_007220	11238
PADI2	peptidyl arginine deiminase 2		11240
PMF1	polyamine modulated factor 1	NM_007221	11243
ZHX1	zinc fingers and homeoboxes 1		11244
GPR176	G protein-coupled receptor 176	NM_007223	11245
NXPH4	neurexophilin 4	NM_007224	11247
NXPH3	neurexophilin 3		11248
NXPH2	neurexophilin 2		11249
GPR45	G protein-coupled receptor 45	NM_007227	11250
PTGDR2	prostaglandin D2 receptor 2	NM_004778	11251
PACSIN2	protein kinase C and casein kinase substrate in neurons 2	NM_007229	11252
MAN1B1	mannosidase alpha class 1B member 1	NM_016219	11253
SLC6A14	solute carrier family 6 member 14		11254
HRH3	histamine receptor H3	NM_007232	11255
TP53TG1	TP53 target 1		11257
DCTN3	dynactin subunit 3		11258
FILIP1L	filamin A interacting protein 1 like	NM_014890	11259
XPOT	exportin for tRNA	NM_007235	11260
CHP1	calcineurin like EF-hand protein 1	NM_007236	11261
SP140	SP140 nuclear body protein	NM_007237	11262
PXMP4	peroxisomal membrane protein 4	NM_007238	11264
DUSP12	dual specificity phosphatase 12	NM_007240	11266
SNF8	SNF8 subunit of ESCRT-II	NM_007241	11267
DDX19B	DEAD-box helicase 19B	NM_007242	11269
NRM	nurim		11270
PRR4	proline rich 4	NM_007244	11272
ATXN2L	ataxin 2 like	NM_007245	11273
USP18	ubiquitin specific peptidase 18		11274
KLHL2	kelch like family member 2		11275
SYNRG	synergin gamma	NM_007247	11276
TREX1	three prime repair exonuclease 1	NM_033629	11277
KLF12	KLF transcription factor 12	NM_007249	11278
KLF8	KLF transcription factor 8	NM_007250	11279
SCN11A	sodium voltage-gated channel alpha subunit 11	NM_014139	11280
POU6F2	POU class 6 homeobox 2	NM_007252	11281
MGAT4B	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	NM_014275	11282
CYP4F8	cytochrome P450 family 4 subfamily F member 8	NM_007253	11283
PNKP	polynucleotide kinase 3'-phosphatase	NM_007254	11284
B4GALT7	beta-1,4-galactosyltransferase 7	NM_007255	11285
SLCO2B1	solute carrier organic anion transporter family member 2B1	NM_007256	11309
VPS45	vacuolar protein sorting 45 homolog	NM_007259	11311
LYPLA2	lysophospholipase 2		11313
CD300A	CD300a molecule	NM_007261	11314
PARK7	Parkinsonism associated deglycase	NM_007262	11315
COPE	COPI coat complex subunit epsilon	NM_007263	11316
RBPJL	recombination signal binding protein for immunoglobulin kappa J region like	NM_014276	11317
GPR182	G protein-coupled receptor 182	NM_007264	11318
ECD	ecdysoneless cell cycle regulator	NM_007265	11319
MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	NM_012214	11320
GPN1	GPN-loop GTPase 1	NM_007266	11321
TMC6	transmembrane channel like 6		11322
DDX42	DEAD-box helicase 42	NM_007372	11325
VSIG4	V-set and immunoglobulin domain containing 4	NM_007268	11326
FKBP9	FKBP prolyl isomerase 9	NM_007270	11328
STK38	serine/threonine kinase 38	NM_007271	11329
CTRC	chymotrypsin C	NM_007272	11330
PHB2	prohibitin 2	NM_007273	11331
ACOT7	acyl-CoA thioesterase 7	NM_007274	11332
PDAP1	PDGFA associated protein 1	NM_014891	11333
TUSC2	tumor suppressor 2, mitochondrial calcium regulator	NM_007275	11334
CBX3	chromobox 3	NM_007276	11335
EXOC3	exocyst complex component 3	NM_007277	11336
GABARAP	GABA type A receptor-associated protein		11337
U2AF2	U2 small nuclear RNA auxiliary factor 2	NM_007279	11338
OIP5	Opa interacting protein 5	NM_007280	11339
EXOSC8	exosome component 8	NM_181503	11340
SCRG1	stimulator of chondrogenesis 1	NM_007281	11341
RNF13	ring finger protein 13	NM_183381	11342
MGLL	monoglyceride lipase	NM_007283	11343
TWF2	twinfilin actin binding protein 2		11344
GABARAPL2	GABA type A receptor associated protein like 2	NM_007285	11345
SYNPO	synaptopodin	NM_007286	11346
CASC3	CASC3 exon junction complex subunit	NM_007359	22794
NID2	nidogen 2		22795
COG2	component of oligomeric golgi complex 2	NM_007357	22796
TFEC	transcription factor EC	NM_012252	22797
LAMB4	laminin subunit beta 4	NM_001318046	22798
RRAS2	RAS related 2	NM_012250	22800
ITGA11	integrin subunit alpha 11	NM_012211	22801
CLCA4	chloride channel accessory 4	NM_012128	22802
XRN2	5'-3' exoribonuclease 2	NM_012255	22803
IKZF3	IKAROS family zinc finger 3	NM_012481	22806
IKZF2	IKAROS family zinc finger 2	NM_016260	22807
MRAS	muscle RAS oncogene homolog		22808
ATF5	activating transcription factor 5		22809
TDGF1P6	teratocarcinoma-derived growth factor 1 pseudogene 6	NG_012350	22813
TDGF1P5	teratocarcinoma-derived growth factor 1 pseudogene 5	NG_001242	22814
TDGF1P4	teratocarcinoma-derived growth factor 1 pseudogene 4	NG_001243	22815
TDGF1P2	teratocarcinoma-derived growth factor 1 pseudogene 2	NG_001244	22816
NR1I4	nuclear receptor subfamily 1 group I member 4		22817
COPZ1	COPI coat complex subunit zeta 1	NM_016057	22818
COPG1	COPI coat complex subunit gamma 1	NM_016128	22820
RASA3	RAS p21 protein activator 3	NM_007368	22821
PHLDA1	pleckstrin homology like domain family A member 1	NM_007350	22822
MTF2	metal response element binding transcription factor 2	NM_007358	22823
HSPA4L	heat shock protein family A (Hsp70) member 4 like	NM_014278	22824
DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	NM_014280	22826
PUF60	poly(U) binding splicing factor 60	NM_014281	22827
SCAF8	SR-related CTD associated factor 8	NM_014892	22828
NLGN4Y	neuroligin 4 Y-linked	NM_014893	22829
CEP162	centrosomal protein 162	NM_014895	22832
ZNF652	zinc finger protein 652	NM_014897	22834
ZFP30	ZFP30 zinc finger protein	NM_014898	22835
RHOBTB3	Rho related BTB domain containing 3	NM_014899	22836
COBLL1	cordon-bleu WH2 repeat protein like 1	NM_014900	22837
RNF44	ring finger protein 44		22838
DLGAP4	DLG associated protein 4	NM_014902	22839
RAB11FIP2	RAB11 family interacting protein 2	NM_014904	22841
PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E	NM_014906	22843
FRMPD1	FERM and PDZ domain containing 1	NM_014907	22844
DOLK	dolichol kinase	NM_014908	22845
VASH1	vasohibin 1	NM_014909	22846
ZNF507	zinc finger protein 507	NM_014910	22847
AAK1	AP2 associated kinase 1	NM_014911	22848
CPEB3	cytoplasmic polyadenylation element binding protein 3	NM_014912	22849
ADNP2	ADNP homeobox 2	NM_014913	22850
ANKRD26	ankyrin repeat domain containing 26	NM_014915	22852
LMTK2	lemur tyrosine kinase 2	NM_014916	22853
NTNG1	netrin G1	NM_014917	22854
CHSY1	chondroitin sulfate synthase 1	NM_014918	22856
CILK1	ciliogenesis associated kinase 1	NM_016513	22858
ADGRL1	adhesion G protein-coupled receptor L1	NM_014921	22859
NLRP1	NLR family pyrin domain containing 1	NM_033004	22861
FNDC3A	fibronectin type III domain containing 3A	NM_014923	22862
ATG14	autophagy related 14	NM_014924	22863
R3HDM2	R3H domain containing 2	NM_014925	22864
SLITRK3	SLIT and NTRK like family member 3	NM_014926	22865
CNKSR2	connector enhancer of kinase suppressor of Ras 2	NM_014927	22866
FASTKD2	FAST kinase domains 2	NM_014929	22868
ZNF510	zinc finger protein 510	NM_014930	22869
PPP6R1	protein phosphatase 6 regulatory subunit 1	NM_014931	22870
NLGN1	neuroligin 1	NM_014932	22871
SEC31A	SEC31 homolog A, COPII coat complex component	NM_016211	22872
DZIP1	DAZ interacting zinc finger protein 1	NM_014934	22873
PLEKHA6	pleckstrin homology domain containing A6	NM_014935	22874
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4		22875
INPP5F	inositol polyphosphate-5-phosphatase F	NM_014937	22876
MLXIP	MLX interacting protein	NM_014938	22877
TRAPPC8	trafficking protein particle complex subunit 8	NM_014939	22878
MON1B	MON1 homolog B, secretory trafficking associated	NM_014940	22879
MORC2	MORC family CW-type zinc finger 2	NM_014941	22880
ANKRD6	ankyrin repeat domain 6		22881
ZHX2	zinc fingers and homeoboxes 2	NM_014943	22882
CLSTN1	calsyntenin 1		22883
WDR37	WD repeat domain 37	NM_014023	22884
ABLIM3	actin binding LIM protein family member 3	NM_014945	22885
FOXJ3	forkhead box J3	NM_014947	22887
UBOX5	U-box domain containing 5	NM_014948	22888
KHDC4	KH domain containing 4, pre-mRNA splicing factor	NM_014949	22889
ZBTB1	zinc finger and BTB domain containing 1		22890
ZNF365	zinc finger protein 365	NM_014951	22891
BAHD1	bromo adjacent homology domain containing 1	NM_014952	22893
DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	NM_014953	22894
RPH3A	rabphilin 3A	NM_014954	22895
CEP164	centrosomal protein 164	NM_014956	22897
DENND3	DENN domain containing 3	NM_014957	22898
ARHGEF15	Rho guanine nucleotide exchange factor 15	NM_173728	22899
CARD8	caspase recruitment domain family member 8	NM_014959	22900
ARSG	arylsulfatase G	NM_014960	22901
RUFY3	RUN and FYVE domain containing 3	NM_014961	22902
BTBD3	BTB domain containing 3		22903
SBNO2	strawberry notch homolog 2	NM_014963	22904
EPN2	epsin 2	NM_014964	22905
TRAK1	trafficking kinesin protein 1	NM_014965	22906
DHX30	DExH-box helicase 30	NM_138615	22907
SACM1L	SAC1 like phosphatidylinositide phosphatase	NM_014016	22908
FAN1	FANCD2 and FANCI associated nuclease 1	NM_014967	22909
WDR47	WD repeat domain 47	NM_014969	22911
RALY	RALY heterogeneous nuclear ribonucleoprotein		22913
KLRK1	killer cell lectin like receptor K1	NM_007360	22914
MMRN1	multimerin 1	NM_007351	22915
NCBP2	nuclear cap binding protein subunit 2	NM_007362	22916
ZP1	zona pellucida glycoprotein 1	NM_207341	22917
CD93	CD93 molecule	NM_012072	22918
MAPRE1	microtubule associated protein RP/EB family member 1	NM_012325	22919
KIFAP3	kinesin associated protein 3	NM_014970	22920
MSRB2	methionine sulfoxide reductase B2	NM_012228	22921
MAPRE3	microtubule associated protein RP/EB family member 3	NM_012326	22924
PLA2R1	phospholipase A2 receptor 1		22925
ATF6	activating transcription factor 6	NM_007348	22926
HABP4	hyaluronan binding protein 4	NM_014282	22927
SEPHS2	selenophosphate synthetase 2	NM_012248	22928
SEPHS1	selenophosphate synthetase 1	NM_012247	22929
RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	NM_012233	22930
RAB18	RAB18, member RAS oncogene family	NM_021252	22931
POMZP3	POM121 and ZP3 fusion	NM_012230	22932
SIRT2	sirtuin 2		22933
RPIA	ribose 5-phosphate isomerase A		22934
ELL2	elongation factor for RNA polymerase II 2	NM_012081	22936
SCAP	SREBF chaperone	NM_012235	22937
SNW1	SNW domain containing 1	NM_012245	22938
SHANK2	SH3 and multiple ankyrin repeat domains 2	NM_012309	22941
DKK1	dickkopf WNT signaling pathway inhibitor 1	NM_012242	22943
KIN	Kin17 DNA and RNA binding protein	NM_012311	22944
GPAA1P1	glycosylphosphatidylinositol anchor attachment 1 pseudogene 1		22945
DUX4L1	double homeobox 4 like 1 (pseudogene)	NG_034172	22947
CCT5	chaperonin containing TCP1 subunit 5		22948
PTGR1	prostaglandin reductase 1		22949
SLC4A1AP	solute carrier family 4 member 1 adaptor protein	NM_018158	22950
CYP2G1P	cytochrome P450 family 2 subfamily G member 1, pseudogene		22952
P2RX2	purinergic receptor P2X 2		22953
TRIM32	tripartite motif containing 32	NM_012210	22954
SCMH1	Scm polycomb group protein homolog 1		22955
RPL41P3	ribosomal protein L41 pseudogene 3	NG_000889	22969
RPL41P2	ribosomal protein L41 pseudogene 2	NG_000890	22970
RPL41P1	ribosomal protein L41 pseudogene 1	NG_000891	22971
LAMB2P1	laminin subunit beta 2 pseudogene 1	NR_004405	22973
TPX2	TPX2 microtubule nucleation factor		22974
PAXIP1	PAX interacting protein 1	NM_007349	22976
AKR7A3	aldo-keto reductase family 7 member A3	NM_012067	22977
NT5C2	5'-nucleotidase, cytosolic II	NM_012229	22978
EFR3B	EFR3 homolog B	NM_014971	22979
TCF25	transcription factor 25	NM_014972	22980
NINL	ninein like	NM_025176	22981
DIP2C	disco interacting protein 2 homolog C	NM_014974	22982
MAST1	microtubule associated serine/threonine kinase 1	NM_014975	22983
PDCD11	programmed cell death 11		22984
ACIN1	apoptotic chromatin condensation inducer 1	NM_014977	22985
SORCS3	sortilin related VPS10 domain containing receptor 3	NM_014978	22986
SV2C	synaptic vesicle glycoprotein 2C		22987
MYH15	myosin heavy chain 15	NM_014981	22989
PCNX1	pecanex 1	NM_014982	22990
KDM2A	lysine demethylase 2A	NM_012308	22992
HMGXB3	HMG-box containing 3	NM_014983	22993
CEP131	centrosomal protein 131	NM_014984	22994
CEP152	centrosomal protein 152	NM_014985	22995
TTC39A	tetratricopeptide repeat domain 39A		22996
IGSF9B	immunoglobulin superfamily member 9B	NM_001277285	22997
LIMCH1	LIM and calponin homology domains 1	NM_014988	22998
RIMS1	regulating synaptic membrane exocytosis 1	NM_014989	22999
WDFY3	WD repeat and FYVE domain containing 3	NM_014991	23001
DAAM1	dishevelled associated activator of morphogenesis 1	NM_014992	23002
MAPKBP1	mitogen-activated protein kinase binding protein 1	NM_014994	23005
PLCH1	phospholipase C eta 1	NM_014996	23007
KLHDC10	kelch domain containing 10		23008
RAB21	RAB21, member RAS oncogene family		23011
STK38L	serine/threonine kinase 38 like	NM_015000	23012
SPEN	spen family transcriptional repressor	NM_015001	23013
FBXO21	F-box protein 21	NM_033624	23014
GOLGA8A	golgin A8 family member A	NM_181076	23015
EXOSC7	exosome component 7	NM_015004	23016
FAIM2	Fas apoptotic inhibitory molecule 2	NM_012306	23017
CNOT1	CCR4-NOT transcription complex subunit 1	NM_016284	23019
SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	NM_014014	23020
PALLD	palladin, cytoskeletal associated protein	NM_016081	23022
TMCC1	transmembrane and coiled-coil domain family 1	NM_015008	23023
PDZRN3	PDZ domain containing ring finger 3	NM_015009	23024
UNC13A	unc-13 homolog A	NM_001080421	23025
MYO16	myosin XVI	NM_015011	23026
KDM1A	lysine demethylase 1A	NM_015013	23028
RBM34	RNA binding motif protein 34	NM_015014	23029
KDM4B	lysine demethylase 4B	NM_015015	23030
MAST3	microtubule associated serine/threonine kinase 3	NM_015016	23031
USP33	ubiquitin specific peptidase 33	NM_015017	23032
DOP1A	DOP1 leucine zipper like protein A	NM_015018	23033
SAMD4A	sterile alpha motif domain containing 4A	NM_015589	23034
PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	NM_015020	23035
ZNF292	zinc finger protein 292	NM_015021	23036
PDZD2	PDZ domain containing 2		23037
WDTC1	WD and tetratricopeptide repeats 1	NM_015023	23038
XPO7	exportin 7	NM_015024	23039
MYT1L	myelin transcription factor 1 like	NM_015025	23040
MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking	NM_015026	23041
PDXDC1	pyridoxal dependent decarboxylase domain containing 1	NM_015027	23042
TNIK	TRAF2 and NCK interacting kinase	NM_015028	23043
KIF21B	kinesin family member 21B	NM_001252100	23046
PDS5B	PDS5 cohesin associated factor B	NM_015032	23047
FNBP1	formin binding protein 1		23048
SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	NM_015092	23049
ZHX3	zinc fingers and homeoboxes 3	NM_015035	23051
ENDOD1	endonuclease domain containing 1	NM_015036	23052
ZSWIM8	zinc finger SWIM-type containing 8	NM_001242487	23053
NCOA6	nuclear receptor coactivator 6	NM_014071	23054
NMNAT2	nicotinamide nucleotide adenylyltransferase 2		23057
CLUAP1	clusterin associated protein 1	NM_024793	23059
ZNF609	zinc finger protein 609	NM_015042	23060
TBC1D9B	TBC1 domain family member 9B	NM_015043	23061
GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2		23062
WAPL	WAPL cohesin release factor	NM_015045	23063
SETX	senataxin	NM_015046	23064
EMC1	ER membrane protein complex subunit 1	NM_015047	23065
CAND2	cullin associated and neddylation dissociated 2 (putative)	NM_001162499	23066
SETD1B	SET domain containing 1B, histone lysine methyltransferase	NM_001353345	23067
CMTR1	cap methyltransferase 1	NM_015050	23070
ERP44	endoplasmic reticulum protein 44	NM_015051	23071
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	NM_015052	23072
BLTP3B	bridge-like lipid transfer protein family member 3B	NM_001006947	23074
SWAP70	switching B cell complex subunit SWAP70	NM_015055	23075
RRP1B	ribosomal RNA processing 1B	NM_015056	23076
MYCBP2	MYC binding protein 2	NM_015057	23077
VWA8	von Willebrand factor A domain containing 8	NM_015058	23078
AVL9	AVL9 cell migration associated	NM_015060	23080
KDM4C	lysine demethylase 4C	NM_015061	23081
PPRC1	PPARG related coactivator 1	NM_015062	23082
ERC1	ELKS/RAB6-interacting/CAST family member 1	NM_015064	23085
EXPH5	exophilin 5	NM_015065	23086
TRIM35	tripartite motif containing 35	NM_171982	23087
PEG10	paternally expressed 10	NM_015068	23089
ZNF423	zinc finger protein 423	NM_015069	23090
